algoritmo,generacion,fitness,NFE,tiempo
Original,1,-446,20,0.014714717864990234
Original,2,-445,30,0.020713090896606445
Original,3,-411,40,0.029169321060180664
Original,4,-411,50,0.04521656036376953
Original,5,-411,60,0.05708050727844238
Original,6,-411,70,0.07935929298400879
Original,7,-411,80,0.08835673332214355
Original,8,-411,90,0.09335851669311523
Original,9,-411,100,0.09936690330505371
Original,10,-411,110,0.1086575984954834
Original,11,-411,120,0.12267231941223145
Original,12,-411,130,0.17167043685913086
Original,13,-411,140,0.19074368476867676
Original,14,-411,150,0.19893503189086914
Original,15,-411,160,0.2194523811340332
Original,16,-411,170,0.22545909881591797
Original,17,-411,180,0.23145008087158203
Original,18,-411,190,0.237687349319458
Original,19,-411,200,0.24168705940246582
Original,20,-411,210,0.24914908409118652
Original,21,-411,220,0.25314903259277344
Original,22,-411,230,0.25914978981018066
Original,23,-411,240,0.2640714645385742
Original,24,-411,250,0.26807093620300293
Original,25,-411,260,0.2746450901031494
Original,26,-411,270,0.28168416023254395
Original,27,-411,280,0.2870149612426758
Original,28,-411,290,0.29201316833496094
Original,29,-411,300,0.2970559597015381
Original,30,-411,310,0.3000214099884033
Original,31,-411,320,0.30402255058288574
Original,32,-411,330,0.3070261478424072
Original,33,-411,340,0.31354761123657227
Original,34,-411,350,0.31781816482543945
Original,35,-411,360,0.3208174705505371
Original,36,-401,370,0.32481932640075684
Original,37,-401,380,0.32881951332092285
Original,38,-401,390,0.33081698417663574
Original,39,-401,400,0.33481788635253906
Original,40,-401,410,0.33912086486816406
Original,41,-401,420,0.34812164306640625
Original,42,-401,430,0.35158801078796387
Original,43,-401,440,0.3545992374420166
Original,44,-401,450,0.3565967082977295
Original,45,-401,460,0.3605949878692627
Original,46,-401,470,0.3636636734008789
Original,47,-401,480,0.36795496940612793
Original,48,-401,490,0.37195563316345215
Original,49,-401,500,0.37696170806884766
Original,50,-401,510,0.3877573013305664
Original,51,-401,520,0.3918743133544922
Original,52,-401,530,0.39487504959106445
Original,53,-401,540,0.39788222312927246
Original,54,-401,550,0.399885892868042
Original,55,-401,560,0.40288209915161133
Original,56,-401,570,0.40628623962402344
